[04/05 16:03:42]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=56, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/04051600', seed=17, weight_decay=0.0001)
[04/05 16:03:56]: epoch: 1, train_loss: 3.366147, train_accuracy: 0.2089
[04/05 16:33:56]: epoch: 143, train_loss: 0.171890, train_accuracy: 0.9648
[04/05 16:33:57]: Epoch Test: 143, Current test accuracy: 0.8926, Best test accuracy in 132: 0.8952
[04/05 16:34:09]: epoch: 144, train_loss: 0.173156, train_accuracy: 0.9652
[04/05 16:34:09]: Epoch Test: 144, Current test accuracy: 0.8718, Best test accuracy in 132: 0.8952
[04/05 16:34:21]: epoch: 145, train_loss: 0.171371, train_accuracy: 0.9644
[04/05 16:34:22]: Epoch Test: 145, Current test accuracy: 0.8844, Best test accuracy in 132: 0.8952
[04/05 16:34:34]: epoch: 146, train_loss: 0.168769, train_accuracy: 0.9654
[04/05 16:34:35]: Epoch Test: 146, Current test accuracy: 0.8869, Best test accuracy in 132: 0.8952
[04/05 16:34:47]: epoch: 147, train_loss: 0.160363, train_accuracy: 0.9673
[04/05 16:34:48]: Epoch Test: 147, Current test accuracy: 0.8897, Best test accuracy in 132: 0.8952
[04/05 16:35:00]: epoch: 148, train_loss: 0.166418, train_accuracy: 0.9665
[04/05 16:35:00]: Epoch Test: 148, Current test accuracy: 0.8889, Best test accuracy in 132: 0.8952
[04/05 16:35:12]: epoch: 149, train_loss: 0.164477, train_accuracy: 0.9660
[04/05 16:35:13]: Epoch Test: 149, Current test accuracy: 0.8876, Best test accuracy in 132: 0.8952
[04/05 16:35:25]: epoch: 150, train_loss: 0.168729, train_accuracy: 0.9650
[04/05 16:35:26]: Epoch Test: 150, Current test accuracy: 0.8935, Best test accuracy in 132: 0.8952
[04/05 16:35:38]: epoch: 151, train_loss: 0.156792, train_accuracy: 0.9677
[04/05 16:35:38]: Epoch Test: 151, Current test accuracy: 0.8856, Best test accuracy in 132: 0.8952
[04/05 16:35:50]: epoch: 152, train_loss: 0.164800, train_accuracy: 0.9663
[04/05 16:35:51]: Epoch Test: 152, Current test accuracy: 0.8849, Best test accuracy in 132: 0.8952
[04/05 16:36:04]: epoch: 153, train_loss: 0.158589, train_accuracy: 0.9677
[04/05 16:36:05]: Epoch Test: 153, Current test accuracy: 0.8862, Best test accuracy in 132: 0.8952
[04/05 16:36:19]: epoch: 154, train_loss: 0.156898, train_accuracy: 0.9680
[04/05 16:36:20]: Epoch Test: 154, Current test accuracy: 0.8846, Best test accuracy in 132: 0.8952
[04/05 16:36:32]: epoch: 155, train_loss: 0.166294, train_accuracy: 0.9664
[04/05 16:36:33]: Epoch Test: 155, Current test accuracy: 0.8900, Best test accuracy in 132: 0.8952
[04/05 16:36:45]: epoch: 156, train_loss: 0.157497, train_accuracy: 0.9680
[04/05 16:36:46]: Epoch Test: 156, Current test accuracy: 0.8819, Best test accuracy in 132: 0.8952
[04/05 16:36:58]: epoch: 157, train_loss: 0.151607, train_accuracy: 0.9687
[04/05 16:36:59]: Epoch Test: 157, Current test accuracy: 0.8910, Best test accuracy in 132: 0.8952
[04/05 16:37:11]: epoch: 158, train_loss: 0.156966, train_accuracy: 0.9687
[04/05 16:37:12]: Epoch Test: 158, Current test accuracy: 0.8819, Best test accuracy in 132: 0.8952
[04/05 16:37:24]: epoch: 159, train_loss: 0.149608, train_accuracy: 0.9699
[04/05 16:37:25]: Epoch Test: 159, Current test accuracy: 0.8910, Best test accuracy in 132: 0.8952
[04/05 16:37:37]: epoch: 160, train_loss: 0.148376, train_accuracy: 0.9696
[04/05 16:37:38]: Epoch Test: 160, Current test accuracy: 0.8890, Best test accuracy in 132: 0.8952
[04/05 16:37:49]: epoch: 161, train_loss: 0.153288, train_accuracy: 0.9686
[04/05 16:37:50]: Epoch Test: 161, Current test accuracy: 0.8844, Best test accuracy in 132: 0.8952
[04/05 16:38:02]: epoch: 162, train_loss: 0.152713, train_accuracy: 0.9688
[04/05 16:38:03]: Epoch Test: 162, Current test accuracy: 0.8936, Best test accuracy in 132: 0.8952
[04/05 16:38:14]: epoch: 163, train_loss: 0.149247, train_accuracy: 0.9698
[04/05 16:38:15]: Epoch Test: 163, Current test accuracy: 0.8933, Best test accuracy in 132: 0.8952
[04/05 16:38:27]: epoch: 164, train_loss: 0.155848, train_accuracy: 0.9690
[04/05 16:38:28]: Epoch Test: 164, Current test accuracy: 0.8881, Best test accuracy in 132: 0.8952
[04/05 16:38:40]: epoch: 165, train_loss: 0.151461, train_accuracy: 0.9693
[04/05 16:38:41]: Epoch Test: 165, Current test accuracy: 0.8868, Best test accuracy in 132: 0.8952
[04/05 16:38:52]: epoch: 166, train_loss: 0.155802, train_accuracy: 0.9686
[04/05 16:38:53]: Epoch Test: 166, Current test accuracy: 0.8838, Best test accuracy in 132: 0.8952
[04/05 16:39:05]: epoch: 167, train_loss: 0.151015, train_accuracy: 0.9694
[04/05 16:39:06]: Epoch Test: 167, Current test accuracy: 0.8881, Best test accuracy in 132: 0.8952
[04/05 16:39:17]: epoch: 168, train_loss: 0.155131, train_accuracy: 0.9689
[04/05 16:39:18]: Epoch Test: 168, Current test accuracy: 0.8916, Best test accuracy in 132: 0.8952
[04/05 16:39:30]: epoch: 169, train_loss: 0.144668, train_accuracy: 0.9707
[04/05 16:39:31]: Epoch Test: 169, Current test accuracy: 0.8937, Best test accuracy in 132: 0.8952
[04/05 16:39:42]: epoch: 170, train_loss: 0.148434, train_accuracy: 0.9692
[04/05 16:39:43]: Epoch Test: 170, Current test accuracy: 0.8895, Best test accuracy in 132: 0.8952
[04/05 16:39:55]: epoch: 171, train_loss: 0.141856, train_accuracy: 0.9718
[04/05 16:39:56]: Epoch Test: 171, Current test accuracy: 0.8920, Best test accuracy in 132: 0.8952
[04/05 16:40:08]: epoch: 172, train_loss: 0.145235, train_accuracy: 0.9714
[04/05 16:40:08]: Epoch Test: 172, Current test accuracy: 0.8871, Best test accuracy in 132: 0.8952
[04/05 16:40:20]: epoch: 173, train_loss: 0.147504, train_accuracy: 0.9708
[04/05 16:40:21]: Epoch Test: 173, Current test accuracy: 0.8887, Best test accuracy in 132: 0.8952
[04/05 16:40:33]: epoch: 174, train_loss: 0.141286, train_accuracy: 0.9711
[04/05 16:40:34]: Epoch Test: 174, Current test accuracy: 0.8928, Best test accuracy in 132: 0.8952
[04/05 16:40:45]: epoch: 175, train_loss: 0.134662, train_accuracy: 0.9726
[04/05 16:40:46]: Epoch Test: 175, Current test accuracy: 0.8847, Best test accuracy in 132: 0.8952
[04/05 16:40:58]: epoch: 176, train_loss: 0.137698, train_accuracy: 0.9725
[04/05 16:40:59]: Epoch Test: 176, Current test accuracy: 0.8917, Best test accuracy in 132: 0.8952
[04/05 16:41:11]: epoch: 177, train_loss: 0.141871, train_accuracy: 0.9721
[04/05 16:41:12]: Epoch Test: 177, Current test accuracy: 0.8895, Best test accuracy in 132: 0.8952
[04/05 16:41:23]: epoch: 178, train_loss: 0.139318, train_accuracy: 0.9712
[04/05 16:41:24]: Epoch Test: 178, Current test accuracy: 0.8811, Best test accuracy in 132: 0.8952
[04/05 16:41:36]: epoch: 179, train_loss: 0.130885, train_accuracy: 0.9732
[04/05 16:41:37]: Epoch Test: 179, Current test accuracy: 0.8909, Best test accuracy in 132: 0.8952
[04/05 16:41:49]: epoch: 180, train_loss: 0.134045, train_accuracy: 0.9731
[04/05 16:41:50]: Epoch Test: 180, Current test accuracy: 0.8885, Best test accuracy in 132: 0.8952
[04/05 16:42:01]: epoch: 181, train_loss: 0.142094, train_accuracy: 0.9712
[04/05 16:42:02]: Epoch Test: 181, Current test accuracy: 0.8952, Best test accuracy in 132: 0.8952
[04/05 16:42:14]: epoch: 182, train_loss: 0.133584, train_accuracy: 0.9733
[04/05 16:42:15]: Epoch Test: 182, Current test accuracy: 0.8951, Best test accuracy in 132: 0.8952
[04/05 16:42:26]: epoch: 183, train_loss: 0.130620, train_accuracy: 0.9738
[04/05 16:42:27]: Epoch Test: 183, Current test accuracy: 0.8955, Best test accuracy in 183: 0.8955
[04/05 16:42:39]: epoch: 184, train_loss: 0.143239, train_accuracy: 0.9710
[04/05 16:42:40]: Epoch Test: 184, Current test accuracy: 0.8941, Best test accuracy in 183: 0.8955
[04/05 16:42:52]: epoch: 185, train_loss: 0.133012, train_accuracy: 0.9738
[04/05 16:42:52]: Epoch Test: 185, Current test accuracy: 0.8883, Best test accuracy in 183: 0.8955
[04/05 16:43:04]: epoch: 186, train_loss: 0.133346, train_accuracy: 0.9736
[04/05 16:43:05]: Epoch Test: 186, Current test accuracy: 0.8964, Best test accuracy in 186: 0.8964
[04/05 16:43:17]: epoch: 187, train_loss: 0.129013, train_accuracy: 0.9744
[04/05 16:43:17]: Epoch Test: 187, Current test accuracy: 0.8955, Best test accuracy in 186: 0.8964
[04/05 16:43:29]: epoch: 188, train_loss: 0.128061, train_accuracy: 0.9739
[04/05 16:43:30]: Epoch Test: 188, Current test accuracy: 0.8917, Best test accuracy in 186: 0.8964
[04/05 16:43:42]: epoch: 189, train_loss: 0.135191, train_accuracy: 0.9729
[04/05 16:43:43]: Epoch Test: 189, Current test accuracy: 0.8918, Best test accuracy in 186: 0.8964
[04/05 16:43:54]: epoch: 190, train_loss: 0.130204, train_accuracy: 0.9738
[04/05 16:43:55]: Epoch Test: 190, Current test accuracy: 0.8954, Best test accuracy in 186: 0.8964
[04/05 16:44:07]: epoch: 191, train_loss: 0.126258, train_accuracy: 0.9747
[04/05 16:44:07]: Epoch Test: 191, Current test accuracy: 0.8929, Best test accuracy in 186: 0.8964
[04/05 16:44:19]: epoch: 192, train_loss: 0.130513, train_accuracy: 0.9736
[04/05 16:44:20]: Epoch Test: 192, Current test accuracy: 0.8959, Best test accuracy in 186: 0.8964
[04/05 16:44:32]: epoch: 193, train_loss: 0.127759, train_accuracy: 0.9740
[04/05 16:44:33]: Epoch Test: 193, Current test accuracy: 0.8901, Best test accuracy in 186: 0.8964
[04/05 16:44:45]: epoch: 194, train_loss: 0.122910, train_accuracy: 0.9748
[04/05 16:44:45]: Epoch Test: 194, Current test accuracy: 0.8909, Best test accuracy in 186: 0.8964
[04/05 16:44:57]: epoch: 195, train_loss: 0.129281, train_accuracy: 0.9735
[04/05 16:44:58]: Epoch Test: 195, Current test accuracy: 0.8899, Best test accuracy in 186: 0.8964
[04/05 16:45:10]: epoch: 196, train_loss: 0.135577, train_accuracy: 0.9724
[04/05 16:45:11]: Epoch Test: 196, Current test accuracy: 0.8921, Best test accuracy in 186: 0.8964
[04/05 16:45:22]: epoch: 197, train_loss: 0.121515, train_accuracy: 0.9763
[04/05 16:45:23]: Epoch Test: 197, Current test accuracy: 0.8920, Best test accuracy in 186: 0.8964
[04/05 16:45:35]: epoch: 198, train_loss: 0.123408, train_accuracy: 0.9748
[04/05 16:45:36]: Epoch Test: 198, Current test accuracy: 0.8905, Best test accuracy in 186: 0.8964
[04/05 16:45:47]: epoch: 199, train_loss: 0.127098, train_accuracy: 0.9743
[04/05 16:45:48]: Epoch Test: 199, Current test accuracy: 0.8802, Best test accuracy in 186: 0.8964
[04/05 16:46:00]: epoch: 200, train_loss: 0.126847, train_accuracy: 0.9745
[04/05 16:46:01]: Epoch Test: 200, Current test accuracy: 0.8965, Best test accuracy in 200: 0.8965
[04/05 16:46:13]: epoch: 201, train_loss: 0.116004, train_accuracy: 0.9767
[04/05 16:46:13]: Epoch Test: 201, Current test accuracy: 0.8860, Best test accuracy in 200: 0.8965
[04/05 16:46:25]: epoch: 202, train_loss: 0.128393, train_accuracy: 0.9750
[04/05 16:46:26]: Epoch Test: 202, Current test accuracy: 0.8885, Best test accuracy in 200: 0.8965
[04/05 16:46:38]: epoch: 203, train_loss: 0.121400, train_accuracy: 0.9757
[04/05 16:46:39]: Epoch Test: 203, Current test accuracy: 0.8936, Best test accuracy in 200: 0.8965
[04/05 16:46:51]: epoch: 204, train_loss: 0.121605, train_accuracy: 0.9754
[04/05 16:46:51]: Epoch Test: 204, Current test accuracy: 0.8961, Best test accuracy in 200: 0.8965
[04/05 16:47:03]: epoch: 205, train_loss: 0.118228, train_accuracy: 0.9753
[04/05 16:47:04]: Epoch Test: 205, Current test accuracy: 0.8922, Best test accuracy in 200: 0.8965
[04/05 16:47:16]: epoch: 206, train_loss: 0.125724, train_accuracy: 0.9748
[04/05 16:47:17]: Epoch Test: 206, Current test accuracy: 0.8912, Best test accuracy in 200: 0.8965
[04/05 16:47:29]: epoch: 207, train_loss: 0.125093, train_accuracy: 0.9755
[04/05 16:47:30]: Epoch Test: 207, Current test accuracy: 0.8947, Best test accuracy in 200: 0.8965
[04/05 16:47:42]: epoch: 208, train_loss: 0.119731, train_accuracy: 0.9758
[04/05 16:47:42]: Epoch Test: 208, Current test accuracy: 0.8971, Best test accuracy in 208: 0.8971
[04/05 16:47:54]: epoch: 209, train_loss: 0.120609, train_accuracy: 0.9757
[04/05 16:47:55]: Epoch Test: 209, Current test accuracy: 0.8898, Best test accuracy in 208: 0.8971
[04/05 16:48:07]: epoch: 210, train_loss: 0.118295, train_accuracy: 0.9771
[04/05 16:48:08]: Epoch Test: 210, Current test accuracy: 0.8971, Best test accuracy in 208: 0.8971
[04/05 16:48:20]: epoch: 211, train_loss: 0.116866, train_accuracy: 0.9768
[04/05 16:48:20]: Epoch Test: 211, Current test accuracy: 0.8928, Best test accuracy in 208: 0.8971
[04/05 16:48:32]: epoch: 212, train_loss: 0.111881, train_accuracy: 0.9777
[04/05 16:48:33]: Epoch Test: 212, Current test accuracy: 0.8865, Best test accuracy in 208: 0.8971
[04/05 16:48:45]: epoch: 213, train_loss: 0.128288, train_accuracy: 0.9743
[04/05 16:48:46]: Epoch Test: 213, Current test accuracy: 0.8987, Best test accuracy in 213: 0.8987
[04/05 16:48:58]: epoch: 214, train_loss: 0.112749, train_accuracy: 0.9782
[04/05 16:48:58]: Epoch Test: 214, Current test accuracy: 0.8976, Best test accuracy in 213: 0.8987
[04/05 16:49:10]: epoch: 215, train_loss: 0.114626, train_accuracy: 0.9772
[04/05 16:49:11]: Epoch Test: 215, Current test accuracy: 0.8893, Best test accuracy in 213: 0.8987
[04/05 16:49:23]: epoch: 216, train_loss: 0.117990, train_accuracy: 0.9759
[04/05 16:49:24]: Epoch Test: 216, Current test accuracy: 0.8941, Best test accuracy in 213: 0.8987
[04/05 16:49:35]: epoch: 217, train_loss: 0.109495, train_accuracy: 0.9785
[04/05 16:49:36]: Epoch Test: 217, Current test accuracy: 0.8874, Best test accuracy in 213: 0.8987
[04/05 16:49:48]: epoch: 218, train_loss: 0.115899, train_accuracy: 0.9772
[04/05 16:49:49]: Epoch Test: 218, Current test accuracy: 0.8893, Best test accuracy in 213: 0.8987
[04/05 16:50:00]: epoch: 219, train_loss: 0.115765, train_accuracy: 0.9770
[04/05 16:50:01]: Epoch Test: 219, Current test accuracy: 0.8869, Best test accuracy in 213: 0.8987
[04/05 16:50:13]: epoch: 220, train_loss: 0.116425, train_accuracy: 0.9772
[04/05 16:50:14]: Epoch Test: 220, Current test accuracy: 0.8940, Best test accuracy in 213: 0.8987
[04/05 16:50:25]: epoch: 221, train_loss: 0.111287, train_accuracy: 0.9777
[04/05 16:50:26]: Epoch Test: 221, Current test accuracy: 0.8912, Best test accuracy in 213: 0.8987
[04/05 16:50:38]: epoch: 222, train_loss: 0.107218, train_accuracy: 0.9788
[04/05 16:50:39]: Epoch Test: 222, Current test accuracy: 0.8950, Best test accuracy in 213: 0.8987
[04/05 16:50:51]: epoch: 223, train_loss: 0.110441, train_accuracy: 0.9783
[04/05 16:50:52]: Epoch Test: 223, Current test accuracy: 0.8920, Best test accuracy in 213: 0.8987
[04/05 16:51:03]: epoch: 224, train_loss: 0.116397, train_accuracy: 0.9766
[04/05 16:51:04]: Epoch Test: 224, Current test accuracy: 0.8846, Best test accuracy in 213: 0.8987
[04/05 16:51:16]: epoch: 225, train_loss: 0.110144, train_accuracy: 0.9782
[04/05 16:51:17]: Epoch Test: 225, Current test accuracy: 0.8968, Best test accuracy in 213: 0.8987
[04/05 16:51:28]: epoch: 226, train_loss: 0.109839, train_accuracy: 0.9777
[04/05 16:51:29]: Epoch Test: 226, Current test accuracy: 0.8891, Best test accuracy in 213: 0.8987
[04/05 16:51:41]: epoch: 227, train_loss: 0.104517, train_accuracy: 0.9791
[04/05 16:51:42]: Epoch Test: 227, Current test accuracy: 0.8887, Best test accuracy in 213: 0.8987
[04/05 16:51:54]: epoch: 228, train_loss: 0.116226, train_accuracy: 0.9770
[04/05 16:51:54]: Epoch Test: 228, Current test accuracy: 0.8931, Best test accuracy in 213: 0.8987
[04/05 16:52:06]: epoch: 229, train_loss: 0.105929, train_accuracy: 0.9786
[04/05 16:52:07]: Epoch Test: 229, Current test accuracy: 0.8918, Best test accuracy in 213: 0.8987
[04/05 16:52:19]: epoch: 230, train_loss: 0.108973, train_accuracy: 0.9787
[04/05 16:52:19]: Epoch Test: 230, Current test accuracy: 0.8952, Best test accuracy in 213: 0.8987
[04/05 16:52:31]: epoch: 231, train_loss: 0.109569, train_accuracy: 0.9781
[04/05 16:52:32]: Epoch Test: 231, Current test accuracy: 0.8928, Best test accuracy in 213: 0.8987
[04/05 16:52:44]: epoch: 232, train_loss: 0.109253, train_accuracy: 0.9784
[04/05 16:52:45]: Epoch Test: 232, Current test accuracy: 0.8964, Best test accuracy in 213: 0.8987
[04/05 16:52:57]: epoch: 233, train_loss: 0.097348, train_accuracy: 0.9806
[04/05 16:52:57]: Epoch Test: 233, Current test accuracy: 0.8929, Best test accuracy in 213: 0.8987
[04/05 16:53:09]: epoch: 234, train_loss: 0.111581, train_accuracy: 0.9773
[04/05 16:53:10]: Epoch Test: 234, Current test accuracy: 0.8840, Best test accuracy in 213: 0.8987
[04/05 16:53:22]: epoch: 235, train_loss: 0.103772, train_accuracy: 0.9799
[04/05 16:53:23]: Epoch Test: 235, Current test accuracy: 0.8937, Best test accuracy in 213: 0.8987
[04/05 16:53:34]: epoch: 236, train_loss: 0.107016, train_accuracy: 0.9792
[04/05 16:53:35]: Epoch Test: 236, Current test accuracy: 0.8969, Best test accuracy in 213: 0.8987
[04/05 16:53:47]: epoch: 237, train_loss: 0.101386, train_accuracy: 0.9791
[04/05 16:53:48]: Epoch Test: 237, Current test accuracy: 0.8944, Best test accuracy in 213: 0.8987
[04/05 16:54:00]: epoch: 238, train_loss: 0.107495, train_accuracy: 0.9784
[04/05 16:54:00]: Epoch Test: 238, Current test accuracy: 0.9011, Best test accuracy in 238: 0.9011
[04/05 16:54:12]: epoch: 239, train_loss: 0.101609, train_accuracy: 0.9802
[04/05 16:54:13]: Epoch Test: 239, Current test accuracy: 0.8965, Best test accuracy in 238: 0.9011
[04/05 16:54:25]: epoch: 240, train_loss: 0.099394, train_accuracy: 0.9799
[04/05 16:54:26]: Epoch Test: 240, Current test accuracy: 0.8841, Best test accuracy in 238: 0.9011
[04/05 16:54:38]: epoch: 241, train_loss: 0.105633, train_accuracy: 0.9792
[04/05 16:54:39]: Epoch Test: 241, Current test accuracy: 0.8967, Best test accuracy in 238: 0.9011
[04/05 16:54:50]: epoch: 242, train_loss: 0.102955, train_accuracy: 0.9797
[04/05 16:54:51]: Epoch Test: 242, Current test accuracy: 0.8885, Best test accuracy in 238: 0.9011
[04/05 16:55:03]: epoch: 243, train_loss: 0.101828, train_accuracy: 0.9791
[04/05 16:55:04]: Epoch Test: 243, Current test accuracy: 0.8940, Best test accuracy in 238: 0.9011
[04/05 16:55:16]: epoch: 244, train_loss: 0.105236, train_accuracy: 0.9796
[04/05 16:55:16]: Epoch Test: 244, Current test accuracy: 0.9010, Best test accuracy in 238: 0.9011
[04/05 16:55:28]: epoch: 245, train_loss: 0.104787, train_accuracy: 0.9793
[04/05 16:55:29]: Epoch Test: 245, Current test accuracy: 0.8988, Best test accuracy in 238: 0.9011
[04/05 16:55:41]: epoch: 246, train_loss: 0.098223, train_accuracy: 0.9806
[04/05 16:55:42]: Epoch Test: 246, Current test accuracy: 0.8951, Best test accuracy in 238: 0.9011
[04/05 16:55:53]: epoch: 247, train_loss: 0.102902, train_accuracy: 0.9799
[04/05 16:55:54]: Epoch Test: 247, Current test accuracy: 0.8954, Best test accuracy in 238: 0.9011
[04/05 16:56:06]: epoch: 248, train_loss: 0.099063, train_accuracy: 0.9794
[04/05 16:56:07]: Epoch Test: 248, Current test accuracy: 0.8952, Best test accuracy in 238: 0.9011
[04/05 16:56:19]: epoch: 249, train_loss: 0.099948, train_accuracy: 0.9804
[04/05 16:56:19]: Epoch Test: 249, Current test accuracy: 0.8925, Best test accuracy in 238: 0.9011
[04/05 16:56:31]: epoch: 250, train_loss: 0.099363, train_accuracy: 0.9796
[04/05 16:56:32]: Epoch Test: 250, Current test accuracy: 0.8948, Best test accuracy in 238: 0.9011
[04/05 16:56:44]: epoch: 251, train_loss: 0.106238, train_accuracy: 0.9786
[04/05 16:56:45]: Epoch Test: 251, Current test accuracy: 0.8938, Best test accuracy in 238: 0.9011
[04/05 16:56:56]: epoch: 252, train_loss: 0.093264, train_accuracy: 0.9816
[04/05 16:56:57]: Epoch Test: 252, Current test accuracy: 0.8938, Best test accuracy in 238: 0.9011
[04/05 16:57:09]: epoch: 253, train_loss: 0.102805, train_accuracy: 0.9797
[04/05 16:57:10]: Epoch Test: 253, Current test accuracy: 0.8937, Best test accuracy in 238: 0.9011
[04/05 16:57:21]: epoch: 254, train_loss: 0.099411, train_accuracy: 0.9803
[04/05 16:57:22]: Epoch Test: 254, Current test accuracy: 0.8945, Best test accuracy in 238: 0.9011
[04/05 16:57:34]: epoch: 255, train_loss: 0.096410, train_accuracy: 0.9811
[04/05 16:57:35]: Epoch Test: 255, Current test accuracy: 0.8941, Best test accuracy in 238: 0.9011
[04/05 16:57:46]: epoch: 256, train_loss: 0.095505, train_accuracy: 0.9809
[04/05 16:57:47]: Epoch Test: 256, Current test accuracy: 0.8955, Best test accuracy in 238: 0.9011
[04/05 16:57:59]: epoch: 257, train_loss: 0.094121, train_accuracy: 0.9812
[04/05 16:58:00]: Epoch Test: 257, Current test accuracy: 0.8970, Best test accuracy in 238: 0.9011
[04/05 16:58:12]: epoch: 258, train_loss: 0.094761, train_accuracy: 0.9815
[04/05 16:58:12]: Epoch Test: 258, Current test accuracy: 0.8894, Best test accuracy in 238: 0.9011
[04/05 16:58:24]: epoch: 259, train_loss: 0.096479, train_accuracy: 0.9804
[04/05 16:58:25]: Epoch Test: 259, Current test accuracy: 0.8906, Best test accuracy in 238: 0.9011
[04/05 16:58:37]: epoch: 260, train_loss: 0.097397, train_accuracy: 0.9803
[04/05 16:58:38]: Epoch Test: 260, Current test accuracy: 0.8946, Best test accuracy in 238: 0.9011
[04/05 16:58:50]: epoch: 261, train_loss: 0.094143, train_accuracy: 0.9808
[04/05 16:58:50]: Epoch Test: 261, Current test accuracy: 0.8997, Best test accuracy in 238: 0.9011
[04/05 16:59:02]: epoch: 262, train_loss: 0.096967, train_accuracy: 0.9804
[04/05 16:59:03]: Epoch Test: 262, Current test accuracy: 0.8879, Best test accuracy in 238: 0.9011
[04/05 16:59:15]: epoch: 263, train_loss: 0.097041, train_accuracy: 0.9808
[04/05 16:59:16]: Epoch Test: 263, Current test accuracy: 0.8922, Best test accuracy in 238: 0.9011
[04/05 16:59:28]: epoch: 264, train_loss: 0.091714, train_accuracy: 0.9820
[04/05 16:59:28]: Epoch Test: 264, Current test accuracy: 0.8930, Best test accuracy in 238: 0.9011
[04/05 16:59:40]: epoch: 265, train_loss: 0.101732, train_accuracy: 0.9800
[04/05 16:59:41]: Epoch Test: 265, Current test accuracy: 0.8956, Best test accuracy in 238: 0.9011
[04/05 16:59:53]: epoch: 266, train_loss: 0.094020, train_accuracy: 0.9811
[04/05 16:59:53]: Epoch Test: 266, Current test accuracy: 0.8994, Best test accuracy in 238: 0.9011
[04/05 17:00:05]: epoch: 267, train_loss: 0.090397, train_accuracy: 0.9816
[04/05 17:00:06]: Epoch Test: 267, Current test accuracy: 0.9017, Best test accuracy in 267: 0.9017
[04/05 17:00:18]: epoch: 268, train_loss: 0.097478, train_accuracy: 0.9809
[04/05 17:00:19]: Epoch Test: 268, Current test accuracy: 0.8985, Best test accuracy in 267: 0.9017
[04/05 17:00:30]: epoch: 269, train_loss: 0.088982, train_accuracy: 0.9825
[04/05 17:00:31]: Epoch Test: 269, Current test accuracy: 0.8971, Best test accuracy in 267: 0.9017
[04/05 17:00:43]: epoch: 270, train_loss: 0.092685, train_accuracy: 0.9817
[04/05 17:00:43]: Epoch Test: 270, Current test accuracy: 0.8963, Best test accuracy in 267: 0.9017
[04/05 17:00:55]: epoch: 271, train_loss: 0.091788, train_accuracy: 0.9819
[04/05 17:00:56]: Epoch Test: 271, Current test accuracy: 0.8953, Best test accuracy in 267: 0.9017
[04/05 17:01:08]: epoch: 272, train_loss: 0.087947, train_accuracy: 0.9825
[04/05 17:01:09]: Epoch Test: 272, Current test accuracy: 0.8947, Best test accuracy in 267: 0.9017
[04/05 17:01:20]: epoch: 273, train_loss: 0.095594, train_accuracy: 0.9814
[04/05 17:01:21]: Epoch Test: 273, Current test accuracy: 0.8940, Best test accuracy in 267: 0.9017
[04/05 17:01:33]: epoch: 274, train_loss: 0.094648, train_accuracy: 0.9812
[04/05 17:01:34]: Epoch Test: 274, Current test accuracy: 0.8984, Best test accuracy in 267: 0.9017
[04/05 17:01:45]: epoch: 275, train_loss: 0.090561, train_accuracy: 0.9825
[04/05 17:01:46]: Epoch Test: 275, Current test accuracy: 0.8998, Best test accuracy in 267: 0.9017
[04/05 17:01:58]: epoch: 276, train_loss: 0.088816, train_accuracy: 0.9824
[04/05 17:01:59]: Epoch Test: 276, Current test accuracy: 0.8956, Best test accuracy in 267: 0.9017
[04/05 17:02:11]: epoch: 277, train_loss: 0.090534, train_accuracy: 0.9824
[04/05 17:02:12]: Epoch Test: 277, Current test accuracy: 0.8915, Best test accuracy in 267: 0.9017
[04/05 17:02:23]: epoch: 278, train_loss: 0.099075, train_accuracy: 0.9801
[04/05 17:02:24]: Epoch Test: 278, Current test accuracy: 0.8985, Best test accuracy in 267: 0.9017
[04/05 17:02:36]: epoch: 279, train_loss: 0.083312, train_accuracy: 0.9840
[04/05 17:02:37]: Epoch Test: 279, Current test accuracy: 0.8949, Best test accuracy in 267: 0.9017
[04/05 17:02:49]: epoch: 280, train_loss: 0.084757, train_accuracy: 0.9837
[04/05 17:02:49]: Epoch Test: 280, Current test accuracy: 0.8957, Best test accuracy in 267: 0.9017
[04/05 17:03:01]: epoch: 281, train_loss: 0.085848, train_accuracy: 0.9829
[04/05 17:03:02]: Epoch Test: 281, Current test accuracy: 0.8982, Best test accuracy in 267: 0.9017
[04/05 17:03:14]: epoch: 282, train_loss: 0.085928, train_accuracy: 0.9829
[04/05 17:03:14]: Epoch Test: 282, Current test accuracy: 0.9011, Best test accuracy in 267: 0.9017
[04/05 17:03:26]: epoch: 283, train_loss: 0.090739, train_accuracy: 0.9822
[04/05 17:03:27]: Epoch Test: 283, Current test accuracy: 0.8957, Best test accuracy in 267: 0.9017
[04/05 17:03:39]: epoch: 284, train_loss: 0.085612, train_accuracy: 0.9830
[04/05 17:03:40]: Epoch Test: 284, Current test accuracy: 0.8934, Best test accuracy in 267: 0.9017
[04/05 17:03:51]: epoch: 285, train_loss: 0.089333, train_accuracy: 0.9822
[04/05 17:03:52]: Epoch Test: 285, Current test accuracy: 0.8992, Best test accuracy in 267: 0.9017
[04/05 17:04:04]: epoch: 286, train_loss: 0.082852, train_accuracy: 0.9838
